image,category,subcategory,repeat,task,block,presentation
b_791076.jpg,scenes,manmade,1,1back,prac,1
CFD-BF-051-035-N.jpg,faces,female,0,1back,prac,1
b_791076.jpg,scenes,manmade,1,1back,prac,2
UMGolfCourse07.jpg,scenes,natural,1,1back,prac,1
MillerCemetery4.jpg,scenes,manmade,0,1back,prac,1
UMGolfCourse07.jpg,scenes,natural,1,1back,prac,2
buffaloskull.jpg,objects,natural,0,1back,prac,1
CFD-LF-212-066-N.jpg,faces,female,1,1back,prac,1
greywolf.jpg,objects,natural,1,1back,prac,1
CFD-LF-212-066-N.jpg,faces,female,1,1back,prac,2
greywolf.jpg,objects,natural,1,1back,prac,2
193359036_9d8d9f8041.jpg,scenes,natural,0,1back,prac,1
notebook03a.jpg,objects,manmade,1,1back,prac,1
smokingpipe.jpg,objects,manmade,0,1back,prac,1
notebook03a.jpg,objects,manmade,1,1back,prac,2
CFD-LM-212-143-N.jpg,faces,male,1,1back,prac,1
CFD-BM-022-022-N.jpg,faces,male,0,1back,prac,1
CFD-LM-212-143-N.jpg,faces,male,1,1back,prac,2